Last Traded Time,Company Name,Symbol,Last Traded Price(Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
02:28 PM,MALWATTE VALLEY PLANTATIONS PLC,MAL.N0000,6.70,17.00,28926.00,197803.30,-0.10,-1.47
02:28 PM,AGSTAR PLC,AGST.N0000,4.80,58.00,95824.00,462198.30,-0.50,-9.43
02:28 PM,MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,22.30,16.00,3376.00,75539.70,-0.30,-1.33
02:28 PM,MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,5.60,20.00,45286.00,253067.90,-0.20,-3.45
02:28 PM,LANKA IOC PLC,LIOC.N0000,16.00,88.00,156155.00,2512946.90,-0.40,-2.44
02:29 PM,ACME PRINTING & PACKAGING PLC,ACME.N0000,4.30,35.00,88082.00,389015.60,0.00,0.00
02:29 PM,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,55.80,227.00,258340.00,14418383.50,0.80,1.45
02:29 PM,DANKOTUWA PORCELAIN PLC,DPL.N0000,7.70,216.00,971612.00,7347248.00,0.50,6.94
02:29 PM,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,37.70,401.00,742056.00,28081916.00,-0.20,-0.53
02:29 PM,SAMPATH BANK PLC,SAMP.N0000,122.40,151.00,138821.00,17011173.50,0.80,0.66
02:29 PM,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.90,24.00,181055.00,162971.90,0.00,0.00
02:29 PM,BERUWALA RESORTS PLC,BERU.N0000,0.80,54.00,1432117.00,1146075.80,0.00,0.00
02:29 PM,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,74.00,390.00,1135902.00,84660609.50,-0.80,-1.07
02:29 PM,NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,72.70,126.00,34375.00,2512947.00,-0.70,-0.95
02:29 PM,ACCESS ENGINEERING PLC,AEL.N0000,19.70,253.00,690241.00,13577940.70,0.00,0.00
02:29 PM,EXPOLANKA HOLDINGS PLC,EXPO.N0000,3.70,146.00,3099898.00,11465470.70,0.00,0.00
02:29 PM,COLOMBO LAND & DEVELOPMENT COMPANY PLC,CLND.N0000,26.50,134.00,220397.00,5859358.00,-0.50,-1.85
02:29 PM,EAST WEST PROPERTIES PLC,EAST.N0000,12.20,319.00,747608.00,9114847.40,0.30,2.52
02:29 PM,HIKKADUWA BEACH RESORT PLC,CITH.N0000,6.40,103.00,202958.00,1308915.10,-0.20,-3.03
02:29 PM,PIRAMAL GLASS CEYLON  PLC,GLAS.N0000,3.60,52.00,355934.00,1304055.80,0.00,0.00
02:29 PM,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,74.10,7.00,344.00,25489.20,2.80,3.93
02:29 PM,AMBEON CAPITAL PLC,TAP.N0000,4.50,88.00,592927.00,2696534.30,0.00,0.00
02:29 PM,MASKELIYA PLANTATIONS PLC,MASK.N0000,9.20,28.00,101626.00,942670.50,-0.10,-1.08
02:29 PM,ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,2.80,61.00,589847.00,1673231.40,-0.10,-3.45
02:29 PM,VALLIBEL FINANCE PLC,VFIN.N0000,57.00,78.00,28007.00,1650062.20,-0.80,-1.38
02:29 PM,JOHN KEELLS HOLDINGS PLC,JKH.N0000,111.90,281.00,317656.00,35570339.80,-0.10,-0.09
02:29 PM,AMBEON HOLDINGS PLC,GREG.N0000,13.40,74.00,614856.00,8140206.50,0.20,1.52
02:29 PM,CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,71.30,376.00,252747.00,17999528.80,3.50,5.16
02:29 PM,DIALOG AXIATA PLC,DIAL.N0000,11.30,146.00,1836063.00,20851556.90,-0.20,-1.74
02:29 PM,ACL CABLES PLC,ACL.N0000,45.00,101.00,112204.00,5053322.80,-0.10,-0.22
02:29 PM,TEEJAY LANKA PLC,TJL.N0000,29.50,52.00,77560.00,2290376.40,-0.10,-0.34
02:29 PM,DFCC BANK PLC,DFCC.N0000,59.70,136.00,192453.00,11529710.30,-0.20,-0.33
02:29 PM,LOLC HOLDINGS PLC,LOLC.N0000,124.50,98.00,77367.00,9647552.20,-0.80,-0.64
02:29 PM,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,14.60,115.00,886613.00,12768390.60,0.50,3.55
02:29 PM,WASKADUWA BEACH RESORT PLC,CITW.N0000,4.80,190.00,1409660.00,6782316.00,-0.10,-2.04
02:29 PM,LANKEM DEVELOPMENTS PLC,LDEV.N0000,3.80,540.00,3634386.00,14358225.10,-0.20,-5.00
02:29 PM,SATHOSA MOTORS PLC,SMOT.N0000,242.50,7.00,144.00,34966.80,-10.50,-4.15
02:29 PM,BROWNS INVESTMENTS PLC,BIL.N0000,2.20,201.00,2466365.00,5421050.70,0.00,0.00
02:29 PM,UNISYST ENGINEERING PLC,ALUF.N0000,10.20,75.00,43924.00,446897.50,-0.20,-1.92
02:29 PM,THE COLOMBO FORT LAND & BUILDING PLC,CFLB.N0000,10.40,232.00,504056.00,5186112.00,-0.30,-2.80
02:29 PM,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,647.50,1.00,1.00,641.90,0.00,0.00
02:29 PM,TESS AGRO PLC,TESS.N0000,0.50,34.00,420722.00,210381.20,0.00,0.00
02:29 PM,HEMAS HOLDINGS PLC,HHL.N0000,59.10,67.00,41878.00,2481622.00,-0.50,-0.84
02:29 PM,HAYLEYS FIBRE PLC,HEXP.N0000,109.00,30.00,11493.00,1256125.00,-0.90,-0.82
02:29 PM,CENTRAL INDUSTRIES PLC,CIND.N0000,52.50,42.00,25839.00,1346320.80,0.10,0.19
02:29 PM,HAYLEYS PLC,HAYL.N0000,159.20,18.00,654.00,104065.00,1.20,0.76
02:29 PM,HATTON PLANTATIONS PLC,HPL.N0000,6.30,6.00,15.00,93.60,0.00,0.00
02:29 PM,CEYLON TEA BROKERS PLC,CTBL.N0000,3.40,82.00,629693.00,2183718.20,0.00,0.00
02:29 PM,CEYLON COLD STORES PLC,CCS.N0000,670.00,59.00,17509.00,11705870.50,-12.30,-1.80
02:29 PM,ROYAL CERAMICS LANKA PLC,RCL.N0000,76.00,140.00,101532.00,7725097.80,-1.10,-1.43
02:29 PM,MARAWILA RESORTS PLC,MARA.N0000,1.60,15.00,131460.00,210226.70,0.00,0.00
11:03 AM,HNB FINANCE LIMITED,HNBF.N0000,5.30,1.00,1000.00,5300.00,0.00,0.00
11:09 AM,DIALOG FINANCE PLC,CALF.N0000,39.10,1.00,100.00,3910.00,0.80,2.09
11:10 AM,THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,875.00,1.00,5.00,4375.00,0.00,0.00
11:10 AM,EDEN HOTEL LANKA PLC,EDEN.N0000,12.70,1.00,9.00,125.10,0.00,0.00
11:11 AM,RAMBODA FALLS PLC,RFL.N0000,15.90,1.00,10.00,163.00,0.00,0.00
